sessionID,session_title,conference_title,date,year,ordinal,participantID,fname,mname,lname,full
1,Regional Authors Reading,Humanimal,3/27/2012,2012,43rd,143,Kevin,,Zepper,Kevin Zepper
1,Regional Authors Reading,Humanimal,3/27/2012,2012,43rd,193,Nancy,,Devine,Nancy Devine
2,Reading: Aaron Poochigian,Humanimal,3/27/2012,2012,43rd,1,Aaron,,Poochigian,Aaron Poochigian
3,Panel: Bestiary: Animals in Our Imaginations,Humanimal,3/28/2012,2012,43rd,1,Aaron,,Poochigian,Aaron Poochigian
3,Panel: Bestiary: Animals in Our Imaginations,Humanimal,3/28/2012,2012,43rd,93,Hal,,Herzog,Hal Herzog
3,Panel: Bestiary: Animals in Our Imaginations,Humanimal,3/28/2012,2012,43rd,149,Lee Ann,,Roripaugh,Lee Ann Roripaugh
4,Reading: Hal Herzog,Humanimal,3/28/2012,2012,43rd,93,Hal,,Herzog,Hal Herzog
5,Reading: Pam Houston,Humanimal,3/28/2012,2012,43rd,202,Pam,,Houston,Pam Houston
6,Panel: Creatures of Habit,Humanimal,3/29/2012,2012,43rd,1,Aaron,,Poochigian,Aaron Poochigian
6,Panel: Creatures of Habit,Humanimal,3/29/2012,2012,43rd,36,Brenda,,Miller,Brenda Miller
6,Panel: Creatures of Habit,Humanimal,3/29/2012,2012,43rd,93,Hal,,Herzog,Hal Herzog
6,Panel: Creatures of Habit,Humanimal,3/29/2012,2012,43rd,202,Pam,,Houston,Pam Houston
7,Reading: Brenda Miller,Humanimal,3/29/2012,2012,43rd,36,Brenda,,Miller,Brenda Miller
8,Reading: Lee Ann Roripaugh,Humanimal,3/29/2012,2012,43rd,149,Lee Ann,,Roripaugh,Lee Ann Roripaugh
9,Reading: Mark Doty,Humanimal,3/30/2012,2012,43rd,171,Mark,,Doty,Mark Doty
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,36,Brenda,,Miller,Brenda Miller
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,106,Jane,,Smiley,Jane Smiley
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,149,Lee Ann,,Roripaugh,Lee Ann Roripaugh
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,171,Mark,,Doty,Mark Doty
10,Panel: Adult Companions,Humanimal,3/30/2012,2012,43rd,202,Pam,,Houston,Pam Houston
11,A Great Conversation with Jane Smiley,Humanimal,3/30/2012,2012,43rd,106,Jane,,Smiley,Jane Smiley
12,Reading: Loida Maritza Pérez,(Inter)National Affairs,3/30/2011,2011,42nd,155,Loida,Maritza,Pèrez,Loida Maritza Pèrez
13,Reading: Susan Deer Cloud,(Inter)National Affairs,4/1/2011,2011,42nd,255,Susan,,Deer Cloud,Susan Deer Cloud
13,Reading: Susan Deer Cloud,(Inter)National Affairs,4/1/2011,2011,42nd,310,Denise,,Lajimodiere,Denise Lajimodiere
14,A Great Conversation with Jamaica Kincaid,(Inter)National Affairs,4/1/2011,2011,42nd,98,Jamaica,,Kincaid,Jamaica Kincaid
15,Reading: Maxine Hong Kingston,(Inter)National Affairs,3/31/2011,2011,42nd,179,Maxine,Hong,Kingston,Maxine Hong Kingston
16,Reading: Sean Mclain Brown and Jim Castellanos,(Inter)National Affairs,3/31/2011,2011,42nd,112,Jim,,Castellanos,Jim Castellanos
16,Reading: Sean Mclain Brown and Jim Castellanos,(Inter)National Affairs,3/31/2011,2011,42nd,246,Sean,Mclain,Brown,Sean Mclain Brown
17,Reading: Carl Phillips,(Inter)National Affairs,3/29/2011,2011,42nd,37,Carl,,Phillips,Carl Phillips
18,Presentation: Matthew Sienkiewicz,(Inter)National Affairs,3/30/2011,2011,42nd,177,Matthew,,Sienkiewicz,Matthew Sienkiewicz
19,Reading: Amoussa Koriko ,(Inter)National Affairs,3/29/2011,2011,42nd,14,Amoussa,,Koriko,Amoussa Koriko
20,Panel: Lost in Translation?,(Inter)National Affairs,3/30/2011,2011,42nd,14,Amoussa,,Koriko,Amoussa Koriko
20,Panel: Lost in Translation?,(Inter)National Affairs,3/30/2011,2011,42nd,37,Carl,,Phillips,Carl Phillips
20,Panel: Lost in Translation?,(Inter)National Affairs,3/30/2011,2011,42nd,237,Russell,Scott,Valentino,Russell Scott Valentino
21,Panel: In Between Places,(Inter)National Affairs,4/1/2011,2011,42nd,14,Amoussa,,Koriko,Amoussa Koriko
21,Panel: In Between Places,(Inter)National Affairs,4/1/2011,2011,42nd,179,Maxine,Hong,Kingston,Maxine Hong Kingston
21,Panel: In Between Places,(Inter)National Affairs,4/1/2011,2011,42nd,255,Susan,,Deer Cloud,Susan Deer Cloud
22,Panel: Conflict Zones,(Inter)National Affairs,3/31/2011,2011,42nd,112,Jim,,Castellanos,Jim Castellanos
22,Panel: Conflict Zones,(Inter)National Affairs,3/31/2011,2011,42nd,155,Loida,Maritza,Pèrez,Loida Maritza Pèrez
22,Panel: Conflict Zones,(Inter)National Affairs,3/31/2011,2011,42nd,177,Matthew,,Sienkiewicz,Matthew Sienkiewicz
22,Panel: Conflict Zones,(Inter)National Affairs,3/31/2011,2011,42nd,246,Sean,Mclain,Brown,Sean Mclain Brown
23,Panel: Are Books Obsolete?,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,23,Art,,Spiegelman,Art Spiegelman
23,Panel: Are Books Obsolete?,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,43,Cecelia,,Condit,Cecelia Condit
23,Panel: Are Books Obsolete?,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,57,Deena,,Larsen,Deena Larsen
24,Presentation: Deena Larsen,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,57,Deena,,Larsen,Deena Larsen
25,A Conversation with Art Spiegelman,"Mind the Gap: Print, New Media, Art",3/23/2010,2010,41st,23,Art,,Spiegelman,Art Spiegelman
26,Panel: Beyond the Page,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,57,Deena,,Larsen,Deena Larsen
26,Panel: Beyond the Page,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,78,Frank,X.,Walker,Frank X. Walker
26,Panel: Beyond the Page,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,170,Mark,,Amerika,Mark Amerika
26,Panel: Beyond the Page,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,196,Nick,,Montfort,Nick Montfort
27,Reading: Mark Amerika,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,170,Mark,,Amerika,Mark Amerika
28,Presentation: Cecelia Condit,"Mind the Gap: Print, New Media, Art",3/24/2010,2010,41st,43,Cecelia,,Condit,Cecelia Condit
29,Panel: Beyond the Screen,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,43,Cecelia,,Condit,Cecelia Condit
29,Panel: Beyond the Screen,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,170,Mark,,Amerika,Mark Amerika
29,Panel: Beyond the Screen,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,196,Nick,,Montfort,Nick Montfort
29,Panel: Beyond the Screen,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,245,Scott,,Miller,Scott Miller
29,Panel: Beyond the Screen,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,254,Stuart,,Moulthrop,Stuart Moulthrop
30,Reading: Nick Montfort,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,196,Nick,,Montfort,Nick Montfort
31,Reading: Frank X. Walker,"Mind the Gap: Print, New Media, Art",3/25/2010,2010,41st,78,Frank,X.,Walker,Frank X. Walker
32,Panel: From Page to Stage,"Mind the Gap: Print, New Media, Art",3/26/2010,2010,41st,78,Frank,X.,Walker,Frank X. Walker
32,Panel: From Page to Stage,"Mind the Gap: Print, New Media, Art",3/26/2010,2010,41st,244,Saul,,Williams,Saul Williams
33,Reading: Stuart Moulthrop,"Mind the Gap: Print, New Media, Art",3/26/2010,2010,41st,254,Stuart,,Moulthrop,Stuart Moulthrop
34,Performance: Saul Williams,"Mind the Gap: Print, New Media, Art",3/26/2010,2010,41st,244,Saul,,Williams,Saul Williams
35,Reading: Marco Candida,Wit,3/31/2009,2009,40th,165,Marco,,Candida,Marco Candida
36,Reading: Jacqueline Osherow,Wit,3/31/2009,2009,40th,97,Jacqueline,,Osherow,Jacqueline Osherow
37,Panel: But Seriously,Wit,4/1/2009,2009,40th,90,Greg,,Williamson,Greg Williamson
37,Panel: But Seriously,Wit,4/1/2009,2009,40th,97,Jacqueline,,Osherow,Jacqueline Osherow
37,Panel: But Seriously,Wit,4/1/2009,2009,40th,135,Karen,,Russell,Karen Russell
37,Panel: But Seriously,Wit,4/1/2009,2009,40th,165,Marco,,Candida,Marco Candida
38,Reading: Greg Williamson,Wit,4/1/2009,2009,40th,90,Greg,,Williamson,Greg Williamson
39,Reading: Steve Almond,Wit,4/1/2009,2009,40th,252,Steve,,Almond,Steve Almond
40,Panel: What’s So Funny?,Wit,4/2/2009,2009,40th,48,Chuck,,Klosterman,Chuck Klosterman
40,Panel: What’s So Funny?,Wit,4/2/2009,2009,40th,90,Greg,,Williamson,Greg Williamson
40,Panel: What’s So Funny?,Wit,4/2/2009,2009,40th,135,Karen,,Russell,Karen Russell
40,Panel: What’s So Funny?,Wit,4/2/2009,2009,40th,252,Steve,,Almond,Steve Almond
41,Reading: Karen Russell,Wit,4/2/2009,2009,40th,135,Karen,,Russell,Karen Russell
42,Reading: Chuck Klosterman,Wit,4/2/2009,2009,40th,48,Chuck,,Klosterman,Chuck Klosterman
43,Panel: The Comic Ghetto,Wit,4/3/2009,2009,40th,45,Charles,,Baxter,Charles Baxter
43,Panel: The Comic Ghetto,Wit,4/3/2009,2009,40th,48,Chuck,,Klosterman,Chuck Klosterman
43,Panel: The Comic Ghetto,Wit,4/3/2009,2009,40th,252,Steve,,Almond,Steve Almond
44,A Tribute to John Little,Wit,4/3/2009,2009,40th,NULL,NULL,NULL,NULL,NULL
45,Reading: Charles Baxter,Wit,4/3/2009,2009,40th,45,Charles,,Baxter,Charles Baxter
46,A Conversation with Salman Rushdie,Revolutions,3/25/2008,2008,39th,239,Salman,,Rushdie,Salman Rushdie
47,Panel: Revolutions,Revolutions,3/26/2008,2008,39th,6,Alexandra,,Fuller,Alexandra Fuller
47,Panel: Revolutions,Revolutions,3/26/2008,2008,39th,209,Peter,,Kuper,Peter Kuper
47,Panel: Revolutions,Revolutions,3/26/2008,2008,39th,239,Salman,,Rushdie,Salman Rushdie
48,Presentation: Peter Kuper,Revolutions,3/26/2008,2008,39th,209,Peter,,Kuper,Peter Kuper
49,Reading: Alexandra Fuller,Revolutions,3/26/2008,2008,39th,6,Alexandra,,Fuller,Alexandra Fuller
50,Panel: Revolutions in Writing,Revolutions,3/27/2008,2008,39th,8,Alice,,Fulton,Alice Fulton
50,Panel: Revolutions in Writing,Revolutions,3/27/2008,2008,39th,133,Junot,,Diaz,Junot Diaz
50,Panel: Revolutions in Writing,Revolutions,3/27/2008,2008,39th,209,Peter,,Kuper,Peter Kuper
51,Reading: Junot Diaz,Revolutions,3/27/2008,2008,39th,133,Junot,,Diaz,Junot Diaz
52,Reading: Alice Fulton,Revolutions,3/27/2008,2008,39th,8,Alice,,Fulton,Alice Fulton
53,Panel: Revolutions in Time,Revolutions,3/28/2008,2008,39th,8,Alice,,Fulton,Alice Fulton
53,Panel: Revolutions in Time,Revolutions,3/28/2008,2008,39th,133,Junot,,Diaz,Junot Diaz
53,Panel: Revolutions in Time,Revolutions,3/28/2008,2008,39th,236,Russell,,Banks,Russell Banks
54,Reading: Regional Authors,Revolutions,3/28/2008,2008,39th,138,Katrina,,Vandenburg,Katrina Vandenburg
54,Reading: Regional Authors,Revolutions,3/28/2008,2008,39th,163,Madelyn,,Camrud,Madelyn Camrud
54,Reading: Regional Authors,Revolutions,3/28/2008,2008,39th,291,Zach,,Kobrinsky,Zach Kobrinsky
55,Reading: Russell Banks,Revolutions,3/28/2008,2008,39th,236,Russell,,Banks,Russell Banks
56,Reading: Stuart Dybek,Writing the Body,3/28/2007,2007,38th,253,Stuart,,Dybek,Stuart Dybek
57,Reading: Mary Gaitskill,Writing the Body,3/30/2007,2007,38th,176,Mary,,Gaitskill,Mary Gaitskill
58,A Conversation with Li-Young Lee,Writing the Body,3/29/2007,2007,38th,154,Li-Young,,Lee,Li-Young Lee
59,Reading: Timothy Liu,Writing the Body,3/28/2007,2007,38th,271,Timothy,,Liu,Timothy Liu
60,Presentation: Leslie Adrienne Miller,Writing the Body,3/30/2007,2007,38th,150,Leslie,Adrienne,Miller,Leslie Adrienne Miller
61,Reading: Michelle Richmond,Writing the Body,3/29/2007,2007,38th,187,Michelle,,Richmond,Michelle Richmond
62,Lecture: Miller Williams,Writing the Body,3/27/2007,2007,38th,188,Miller,,Williams,Miller Williams
63,Panel: The Body Politic,Writing the Body,3/29/2007,2007,38th,188,Miller,,Williams,Miller Williams
63,Panel: The Body Politic,Writing the Body,3/29/2007,2007,38th,253,Stuart,,Dybek,Stuart Dybek
63,Panel: The Body Politic,Writing the Body,3/29/2007,2007,38th,271,Timothy,,Liu,Timothy Liu
64,Panel: The Metaphorical Body,Writing the Body,3/28/2007,2007,38th,18,Anne,,Harris,Anne Harris
64,Panel: The Metaphorical Body,Writing the Body,3/28/2007,2007,38th,154,Li-Young,,Lee,Li-Young Lee
64,Panel: The Metaphorical Body,Writing the Body,3/28/2007,2007,38th,187,Michelle,,Richmond,Michelle Richmond
64,Panel: The Metaphorical Body,Writing the Body,3/28/2007,2007,38th,188,Miller,,Williams,Miller Williams
65,Panel: The Sexual Body,Writing the Body,3/30/2007,2007,38th,150,Leslie,Adrienne,Miller,Leslie Adrienne Miller
65,Panel: The Sexual Body,Writing the Body,3/30/2007,2007,38th,176,Mary,,Gaitskill,Mary Gaitskill
65,Panel: The Sexual Body,Writing the Body,3/30/2007,2007,38th,253,Stuart,,Dybek,Stuart Dybek
65,Panel: The Sexual Body,Writing the Body,3/30/2007,2007,38th,271,Timothy,,Liu,Timothy Liu
67,Reading: Branca Vilela,Border Crossings,3/21/2006,2006,37th,35,Branca,,Vilela,Branca Vilela
68,Lecture: Barry Lopez,Border Crossings,3/21/2006,2006,37th,28,Barry,,Lopez,Barry Lopez
69,Panel: Writing Sans Frontiers: Writing Across Geographical/Cultural Borders,Border Crossings,3/22/2006,2006,37th,28,Barry,,Lopez,Barry Lopez
69,Panel: Writing Sans Frontiers: Writing Across Geographical/Cultural Borders,Border Crossings,3/22/2006,2006,37th,35,Branca,,Vilela,Branca Vilela
69,Panel: Writing Sans Frontiers: Writing Across Geographical/Cultural Borders,Border Crossings,3/22/2006,2006,37th,230,Robin,,Magowan,Robin Magowan
69,Panel: Writing Sans Frontiers: Writing Across Geographical/Cultural Borders,Border Crossings,3/22/2006,2006,37th,240,Sam,,Pickering,Sam Pickering
70,Reading: Robin Magowan,Border Crossings,3/22/2006,2006,37th,230,Robin,,Magowan,Robin Magowan
71,A Conversation with Sam Pickering,Border Crossings,3/22/2006,2006,37th,240,Sam,,Pickering,Sam Pickering
72,"Panel: Writing The Threshold:  Writing Across Social,  Political, and Gendered Boundaries",Border Crossings,3/23/2006,2006,37th,39,Carol,,Gilligan,Carol Gilligan
72,"Panel: Writing The Threshold:  Writing Across Social,  Political, and Gendered Boundaries",Border Crossings,3/23/2006,2006,37th,76,Fan,,Shen,Fan Shen
72,"Panel: Writing The Threshold:  Writing Across Social,  Political, and Gendered Boundaries",Border Crossings,3/23/2006,2006,37th,172,Mark,,Salzman,Mark Salzman
72,"Panel: Writing The Threshold:  Writing Across Social,  Political, and Gendered Boundaries",Border Crossings,3/23/2006,2006,37th,230,Robin,,Magowan,Robin Magowan
72,"Panel: Writing The Threshold:  Writing Across Social,  Political, and Gendered Boundaries",Border Crossings,3/23/2006,2006,37th,240,Sam,,Pickering,Sam Pickering
73,Reading: Carol Gilligan,Border Crossings,3/23/2006,2006,37th,39,Carol,,Gilligan,Carol Gilligan
74,Reading: Fan Shen,Border Crossings,3/23/2006,2006,37th,76,Fan,,Shen,Fan Shen
75,Panel: Writing Around Borders: The Shifting Geography of Genre,Border Crossings,3/24/2006,2006,37th,35,Branca,,Vilela,Branca Vilela
75,Panel: Writing Around Borders: The Shifting Geography of Genre,Border Crossings,3/24/2006,2006,37th,76,Fan,,Shen,Fan Shen
75,Panel: Writing Around Borders: The Shifting Geography of Genre,Border Crossings,3/24/2006,2006,37th,172,Mark,,Salzman,Mark Salzman
75,Panel: Writing Around Borders: The Shifting Geography of Genre,Border Crossings,3/24/2006,2006,37th,192,Nance,,van Winckel,Nance van Winckel
76,Reading: Nance van Winckel,Border Crossings,3/24/2006,2006,37th,192,Nance,,van Winckel,Nance van Winckel
77,Reading: Mark Salzman,Border Crossings,3/22/2006,2006,37th,172,Mark,,Salzman,Mark Salzman
78,Panel: The Politics of Illusion,Hope/Illusion,3/30/2005,2005,36th,41,Carolyn,,Forché,Carolyn Forché
78,Panel: The Politics of Illusion,Hope/Illusion,3/30/2005,2005,36th,107,Jane,,Urquhart,Jane Urquhart
78,Panel: The Politics of Illusion,Hope/Illusion,3/30/2005,2005,36th,161,Luis,,Camnitzer,Luis Camnitzer
78,Panel: The Politics of Illusion,Hope/Illusion,3/30/2005,2005,36th,281,Virginia,,Martinez,Virginia Martinez
79,Reading: Virginia Martinez,Hope/Illusion,3/30/2005,2005,36th,281,Virginia,,Martinez,Virginia Martinez
80,Reading: Carolyn Forché,Hope/Illusion,3/30/2005,2005,36th,41,Carolyn,,Forché,Carolyn Forché
81,"Panel: Spirituality, Culture, and Hope",Hope/Illusion,3/31/2005,2005,36th,46,Charles,,Johnson,Charles Johnson
81,"Panel: Spirituality, Culture, and Hope",Hope/Illusion,3/31/2005,2005,36th,107,Jane,,Urquhart,Jane Urquhart
81,"Panel: Spirituality, Culture, and Hope",Hope/Illusion,3/31/2005,2005,36th,281,Virginia,,Martinez,Virginia Martinez
82,Reading: Jane Urquhart,Hope/Illusion,3/31/2005,2005,36th,107,Jane,,Urquhart,Jane Urquhart
83,Reading: Charles Johnson,Hope/Illusion,3/31/2005,2005,36th,46,Charles,,Johnson,Charles Johnson
84,Panel: Hope and Illusion in Writing,Hope/Illusion,4/1/2005,2005,36th,46,Charles,,Johnson,Charles Johnson
84,Panel: Hope and Illusion in Writing,Hope/Illusion,4/1/2005,2005,36th,47,Chris,,Belden,Chris Belden
84,Panel: Hope and Illusion in Writing,Hope/Illusion,4/1/2005,2005,36th,168,Marilyn,,Nelson,Marilyn Nelson
85,Performance: Chris Belden,Hope/Illusion,4/1/2005,2005,36th,47,Chris,,Belden,Chris Belden
86,Reading: Marilyn Nelson,Hope/Illusion,4/1/2005,2005,36th,168,Marilyn,,Nelson,Marilyn Nelson
87,Panel: Landscapes,Hope/Illusion,4/2/2005,2005,36th,47,Chris,,Belden,Chris Belden
87,Panel: Landscapes,Hope/Illusion,4/2/2005,2005,36th,108,Jane,,Varley,Jane Varley
87,Panel: Landscapes,Hope/Illusion,4/2/2005,2005,36th,137,Kathleen,,Norris,Kathleen Norris
87,Panel: Landscapes,Hope/Illusion,4/2/2005,2005,36th,168,Marilyn,,Nelson,Marilyn Nelson
88,Reading: Jane Varley,Hope/Illusion,4/2/2005,2005,36th,108,Jane,,Varley,Jane Varley
89,Reading: Kathleen Norris,Hope/Illusion,4/2/2005,2005,36th,137,Kathleen,,Norris,Kathleen Norris
90,Panel: Writing on the Northern Plains,3:05,3/24/2004,2004,35th,147,Larry,,Woiwode,Larry Woiwode
90,Panel: Writing on the Northern Plains,3:05,3/24/2004,2004,35th,158,Louise,,Erdrich,Louise Erdrich
90,Panel: Writing on the Northern Plains,3:05,3/24/2004,2004,35th,173,Mark,,Turcotte,Mark Turcotte
91,Reading: Louise Erdrich,3:05,3/24/2004,2004,35th,158,Louise,,Erdrich,Louise Erdrich
92,Panel: Country of Origin,3:05,3/25/2004,2004,35th,20,Annie,,Dawid,Annie Dawid
92,Panel: Country of Origin,3:05,3/25/2004,2004,35th,71,Elmaz,,Abinader,Elmaz Abinader
92,Panel: Country of Origin,3:05,3/25/2004,2004,35th,158,Louise,,Erdrich,Louise Erdrich
92,Panel: Country of Origin,3:05,3/25/2004,2004,35th,173,Mark,,Turcotte,Mark Turcotte
93,Reading: Marilynne Robinson,3:05,3/25/2004,2004,35th,169,Marilynne,,Robinson,Marilynne Robinson
94,Reading: Larry Woiwode,3:05,3/25/2004,2004,35th,147,Larry,,Woiwode,Larry Woiwode
95,"Panel: Essay, Fiction, Poem, Memoir: How to Choose",3:05,3/26/2004,2004,35th,5,Albert,,Goldbarth,Albert Goldbarth
95,"Panel: Essay, Fiction, Poem, Memoir: How to Choose",3:05,3/26/2004,2004,35th,71,Elmaz,,Abinader,Elmaz Abinader
95,"Panel: Essay, Fiction, Poem, Memoir: How to Choose",3:05,3/26/2004,2004,35th,147,Larry,,Woiwode,Larry Woiwode
95,"Panel: Essay, Fiction, Poem, Memoir: How to Choose",3:05,3/26/2004,2004,35th,169,Marilynne,,Robinson,Marilynne Robinson
95,"Panel: Essay, Fiction, Poem, Memoir: How to Choose",3:05,3/26/2004,2004,35th,275,Tony,,Buba,Tony Buba
96,Performance: Elmaz Abinader/Tony Khalife,3:05,3/26/2004,2004,35th,71,Elmaz,,Abinader,Elmaz Abinader
96,Performance: Elmaz Abinader/Tony Khalife,3:05,3/26/2004,2004,35th,276,Tony,,Khalife,Tony Khalife
97,Panel: New Directions,3:05,3/27/2004,2004,35th,5,Albert,,Goldbarth,Albert Goldbarth
97,Panel: New Directions,3:05,3/27/2004,2004,35th,169,Marilynne,,Robinson,Marilynne Robinson
97,Panel: New Directions,3:05,3/27/2004,2004,35th,275,Tony,,Buba,Tony Buba
98,Reading: Annie Dawid,3:05,3/27/2004,2004,35th,20,Annie,,Dawid,Annie Dawid
99,Reading: Albert Goldbarth,3:05,3/27/2004,2004,35th,5,Albert,,Goldbarth,Albert Goldbarth
100,Reading: Dr. Oliver Sacks,Art & Science,3/25/2003,2003,34th,201,Oliver,,Sacks,Oliver Sacks
101,Panel: Art & Science,Art & Science,3/26/2003,2003,34th,131,Julia,,Whitty,Julia Whitty
101,Panel: Art & Science,Art & Science,3/26/2003,2003,34th,194,Natalie,,Angier,Natalie Angier
101,Panel: Art & Science,Art & Science,3/26/2003,2003,34th,201,Oliver,,Sacks,Oliver Sacks
101,Panel: Art & Science,Art & Science,3/26/2003,2003,34th,262,Ted,,Mooney,Ted Mooney
102,Reading: Julia Whitty,Art & Science,3/26/2003,2003,34th,131,Julia,,Whitty,Julia Whitty
103,Presentation: Natalie Angier,Art & Science,3/26/2003,2003,34th,194,Natalie,,Angier,Natalie Angier
104,Panel: Science Fact/Science Fiction,Art & Science,3/27/2003,2003,34th,60,Devra,,Davis,Devra Davis
104,Panel: Science Fact/Science Fiction,Art & Science,3/27/2003,2003,34th,131,Julia,,Whitty,Julia Whitty
104,Panel: Science Fact/Science Fiction,Art & Science,3/27/2003,2003,34th,194,Natalie,,Angier,Natalie Angier
104,Panel: Science Fact/Science Fiction,Art & Science,3/27/2003,2003,34th,262,Ted,,Mooney,Ted Mooney
104,Panel: Science Fact/Science Fiction,Art & Science,3/27/2003,2003,34th,266,Thomas,,Disch,Thomas Disch
105,Reading: Ted Mooney,Art & Science,3/27/2003,2003,34th,262,Ted,,Mooney,Ted Mooney
106,Reading: Thomas Disch,Art & Science,3/27/2003,2003,34th,266,Thomas,,Disch,Thomas Disch
107,Panel: Science as Cosmology,Art & Science,3/28/2003,2003,34th,9,Alison,,Hawthorne-Deming,Alison Hawthorne-Deming
107,Panel: Science as Cosmology,Art & Science,3/28/2003,2003,34th,205,Pattiann,,Rogers,Pattiann Rogers
107,Panel: Science as Cosmology,Art & Science,3/28/2003,2003,34th,266,Thomas,,Disch,Thomas Disch
108,Reading: Alison Hawthorne-Deming,Art & Science,3/28/2003,2003,34th,9,Alison,,Hawthorne-Deming,Alison Hawthorne-Deming
109,Reading: Pattiann Rogers,Art & Science,3/28/2003,2003,34th,205,Pattiann,,Rogers,Pattiann Rogers
110,Panel: Science and Poetry,Art & Science,3/29/2003,2003,34th,9,Alison,,Hawthorne-Deming,Alison Hawthorne-Deming
110,Panel: Science and Poetry,Art & Science,3/29/2003,2003,34th,205,Pattiann,,Rogers,Pattiann Rogers
110,Panel: Science and Poetry,Art & Science,3/29/2003,2003,34th,212,Rafael,,Campo,Rafael Campo
111,Reading: Devra Davis,Art & Science,3/29/2003,2003,34th,60,Devra,,Davis,Devra Davis
112,Reading: Dr. Rafael Campo,Art & Science,3/29/2003,2003,34th,212,Rafael,,Campo,Rafael Campo
113,Panel: Staying Put/Taking Off,Explorations,3/19/2002,2002,33rd,184,Michael,,Martone,Michael Martone
113,Panel: Staying Put/Taking Off,Explorations,3/19/2002,2002,33rd,243,Sara,,Wheeler,Sara Wheeler
113,Panel: Staying Put/Taking Off,Explorations,3/19/2002,2002,33rd,248,Sharon,,Doubiago,Sharon Doubiago
114,Reading: Michael Martone,Explorations,3/19/2002,2002,33rd,184,Michael,,Martone,Michael Martone
115,Reading: Sara Wheeler,Explorations,3/19/2002,2002,33rd,243,Sara,,Wheeler,Sara Wheeler
116,Panel: Why This Trip/What to Pack,Explorations,3/20/2002,2002,33rd,136,Kate,,Daniels,Kate Daniels
116,Panel: Why This Trip/What to Pack,Explorations,3/20/2002,2002,33rd,184,Michael,,Martone,Michael Martone
116,Panel: Why This Trip/What to Pack,Explorations,3/20/2002,2002,33rd,243,Sara,,Wheeler,Sara Wheeler
116,Panel: Why This Trip/What to Pack,Explorations,3/20/2002,2002,33rd,248,Sharon,,Doubiago,Sharon Doubiago
117,Reading: Sharon Doubiago,Explorations,3/20/2002,2002,33rd,248,Sharon,,Doubiago,Sharon Doubiago
118,Reading: Kate Daniels,Explorations,3/20/2002,2002,33rd,136,Kate,,Daniels,Kate Daniels
119,Panel: Writing as Exploration,Explorations,3/21/2002,2002,33rd,30,Bill,,Holm,Bill Holm
119,Panel: Writing as Exploration,Explorations,3/21/2002,2002,33rd,55,David,,Treuer,David Treuer
119,Panel: Writing as Exploration,Explorations,3/21/2002,2002,33rd,65,Eddy,,Harris,Eddy Harris
119,Panel: Writing as Exploration,Explorations,3/21/2002,2002,33rd,136,Kate,,Daniels,Kate Daniels
119,Panel: Writing as Exploration,Explorations,3/21/2002,2002,33rd,278,Ursula,,Hegi,Ursula Hegi
120,Reading: David Treuer,Explorations,3/21/2002,2002,33rd,55,David,,Treuer,David Treuer
121,Reading: Ursula Hegi,Explorations,3/21/2002,2002,33rd,278,Ursula,,Hegi,Ursula Hegi
122,Panel: As Others See Us,Explorations,3/22/2002,2002,33rd,30,Bill,,Holm,Bill Holm
122,Panel: As Others See Us,Explorations,3/22/2002,2002,33rd,55,David,,Treuer,David Treuer
